Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
ABCA10	ATP binding cassette subfamily A member 10	NM_080282.4	40	4632
ABCA12	ATP binding cassette subfamily A member 12	NM_173076.3	53	7788
ABCA13	ATP binding cassette subfamily A member 13	NM_152701.5	62	15177
ABCA2	ATP binding cassette subfamily A member 2	NM_212533.3	49	7401
ABCA3	ATP binding cassette subfamily A member 3	NM_001089.3	33	5115
ABCA4	ATP binding cassette subfamily A member 4	NM_000350.3	50	6822
ABCA5	ATP binding cassette subfamily A member 5	NM_018672.5	38	4929
ABCA6	ATP binding cassette subfamily A member 6	NM_080284.3	39	4854
ABCA7	ATP binding cassette subfamily A member 7	NM_019112.4	47	6441
ABCA8	ATP binding cassette subfamily A member 8	NM_007168.4	38	4746
ABCA9	ATP binding cassette subfamily A member 9	NM_080283.4	39	4875
ABCB1	ATP binding cassette subfamily B member 1	NM_000927.5	29	3843
ABCB10	ATP binding cassette subfamily B member 10	NM_012089.3	13	2217
ABCB11	ATP binding cassette subfamily B member 11	NM_003742.4	28	3966
ABCB4	ATP binding cassette subfamily B member 4	NM_000443.4	28	3840
ABCB5	ATP binding cassette subfamily B member 5	NM_001163941.2	28	3774
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	NM_005689.4	19	2529
ABCB7	ATP binding cassette subfamily B member 7	NM_004299.6	16	2262
ABCB8	ATP binding cassette subfamily B member 8	NM_001282291.2	17	2208
ABCB9	ATP binding cassette subfamily B member 9	NM_001243013.2	11	2112
ABCC1	ATP binding cassette subfamily C member 1	NM_004996.4	31	4596
ABCC10	ATP binding cassette subfamily C member 10	NM_001198934.2	22	4479
ABCC11	ATP binding cassette subfamily C member 11	NM_032583.4	31	4149
ABCC12	ATP binding cassette subfamily C member 12	NM_033226.3	31	4080
ABCC2	ATP binding cassette subfamily C member 2	NM_000392.5	32	4638
ABCC3	ATP binding cassette subfamily C member 3	NM_003786.4	31	4584
ABCC4	ATP binding cassette subfamily C member 4	NM_005845.5	31	3978
ABCC5	ATP binding cassette subfamily C member 5	NM_005688.4	30	4314
ABCC6	ATP binding cassette subfamily C member 6	NM_001171.6	31	4512
ABCC8	ATP binding cassette subfamily C member 8	NM_000352.6	39	4746
ABCC9	ATP binding cassette subfamily C member 9	NM_005691.4	41	4650
ABCD1	ATP binding cassette subfamily D member 1	NM_000033.4	10	2238
ABCD2	ATP binding cassette subfamily D member 2	NM_005164.4	10	2223
ABCD3	ATP binding cassette subfamily D member 3	NM_002858.4	23	1980
ABCD4	ATP binding cassette subfamily D member 4	NM_005050.4	19	1821
ABCE1	ATP binding cassette subfamily E member 1	NM_002940.3	18	1800
ABCF1	ATP binding cassette subfamily F member 1	NM_001025091.2	25	2538
ABCF2	ATP binding cassette subfamily F member 2	NM_007189.3	15	1872
ABCF2-H2BK1	ABCF2-H2BK1 readthrough	NM_005692.5	16	1905
ABCF3	ATP binding cassette subfamily F member 3	NM_018358.3	21	2130
ABCG1	ATP binding cassette subfamily G member 1	NM_207174.1	15	2034
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	NM_004827.3	16	1968
ABCG4	ATP binding cassette subfamily G member 4	NM_022169.5	15	1941
ABCG5	ATP binding cassette subfamily G member 5	NM_022436.3	13	1956
ABCG8	ATP binding cassette subfamily G member 8	NM_022437.3	13	2022
ABHD1	abhydrolase domain containing 1	NM_032604.4	9	1218
ABHD10	abhydrolase domain containing 10, depalmitoylase	NM_018394.4	5	921
ABHD11	abhydrolase domain containing 11	NM_148912.4	6	921
ABHD12	abhydrolase domain containing 12, lysophospholipase	NM_001042472.3	13	1197
ABHD12B	abhydrolase domain containing 12B	NM_001206673.2	13	1089
ABHD13	abhydrolase domain containing 13	NM_032859.3	2	1014
ABHD14A	abhydrolase domain containing 14A	NM_015407.5	5	816
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	NM_001316331.2	17	1497
ABHD14B	abhydrolase domain containing 14B	NM_001146314.2	4	633
ABHD15	abhydrolase domain containing 15	NM_198147.3	2	1407
ABHD16A	abhydrolase domain containing 16A, phospholipase	NM_021160.3	20	1677
ABHD16B	abhydrolase domain containing 16B	NM_080622.4	1	1410
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	NM_031213.4	6	1086
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	NM_016014.4	5	882
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	NM_021214.2	3	990
ABHD18	abhydrolase domain containing 18	NM_001039717.2	11	1245
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	NM_007011.8	15	1278
ABHD3	abhydrolase domain containing 3, phospholipase	NM_138340.5	9	1230
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	NM_022060.3	7	1029
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	NM_016006.6	7	1050
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	NM_020676.7	9	1014
ABHD8	abhydrolase domain containing 8	NM_024527.5	5	1320
ABI1	abl interactor 1	NM_001178116.2	12	1491
ABI2	abl interactor 2	NM_001282925.3	11	1542
ABI3	ABI family member 3	NM_016428.3	8	1101
ABI3BP	ABI family member 3 binding protein	NM_015429.4	35	3207
ABITRAM	actin binding transcription modulator	NM_017832.4	6	546
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NM_007313.3	11	3450
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	NM_007314.4	12	3549
ABLIM1	actin binding LIM protein 1	NM_001322882.2	24	2247
ABLIM2	actin binding LIM protein family member 2	NM_001130083.2	21	1938
ABLIM3	actin binding LIM protein family member 3	NM_001301015.3	23	2052
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	NM_020469.3	7	1064
ABR	ABR activator of RhoGEF and GTPase	NM_001092.5	22	2469
ABRA	actin binding Rho activating protein	NM_139166.5	2	1146
ABRACL	ABRA C-terminal like	NM_021243.3	3	246
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	NM_139076.3	9	1230
ABRAXAS2	abraxas 2, BRISC complex subunit	NM_032182.4	9	1248
ABT1	activator of basal transcription 1	NM_013375.4	3	819
ABTB1	ankyrin repeat and BTB domain containing 1	NM_172027.3	12	1437
ABTB2	ankyrin repeat and BTB domain containing 2	NM_145804.3	17	3078
ABTB3	ankyrin repeat and BTB domain containing 3	NM_001018072.2	17	3315
ACAA1	acetyl-CoA acyltransferase 1	NM_001607.4	12	1275
ACAA2	acetyl-CoA acyltransferase 2	NM_006111.3	10	1194
ACACA	acetyl-CoA carboxylase alpha	NM_198839.3	60	7041
ACACB	acetyl-CoA carboxylase beta	NM_001093.4	53	7377
ACAD10	acyl-CoA dehydrogenase family member 10	NM_001136538.2	22	3273
ACAD11	acyl-CoA dehydrogenase family member 11	NM_032169.5	20	2343
ACAD8	acyl-CoA dehydrogenase family member 8	NM_014384.3	11	1248
ACAD9	acyl-CoA dehydrogenase family member 9	NM_014049.5	18	1866
ACADL	acyl-CoA dehydrogenase long chain	NM_001608.4	11	1293
ACADM	acyl-CoA dehydrogenase medium chain	NM_000016.6	12	1266
ACADS	acyl-CoA dehydrogenase short chain	NM_000017.4	10	1239
ACADSB	acyl-CoA dehydrogenase short/branched chain	NM_001609.4	11	1299
ACADVL	acyl-CoA dehydrogenase very long chain	NM_000018.4	20	1968
ACAN	aggrecan	NM_013227.4	18	7593
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	NM_014716.4	22	2223
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	NM_012287.6	23	2337
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	NM_030649.3	24	2505
ACAT1	acetyl-CoA acetyltransferase 1	NM_000019.4	12	1284
ACAT2	acetyl-CoA acetyltransferase 2	NM_001303253.1	9	1281
ACBD3	acyl-CoA binding domain containing 3	NM_022735.4	8	1587
ACBD4	acyl-CoA binding domain containing 4	NM_001135705.3	10	918
ACBD5	acyl-CoA binding domain containing 5	NM_145698.5	13	1578
ACBD6	acyl-CoA binding domain containing 6	NM_032360.4	8	849
ACBD7	acyl-CoA binding domain containing 7	NM_001039844.3	4	267
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	NM_032592.4	15	1506
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	NM_001031854.2	14	1707
ACD	ACD shelterin complex subunit and telomerase recruitment factor	NM_001082486.2	12	1377
ACE	angiotensin I converting enzyme	NM_000789.4	25	3921
ACE2	angiotensin converting enzyme 2	NM_021804.3	19	2418
ACER1	alkaline ceramidase 1	NM_133492.3	6	795
ACER2	alkaline ceramidase 2	NM_001010887.3	6	828
ACER3	alkaline ceramidase 3	NM_001300953.2	10	693
ACHE	acetylcholinesterase (Cartwright blood group)	NM_000665.5	5	1845
ACIN1	apoptotic chromatin condensation inducer 1	NM_014977.3	19	4026
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	NM_001122951.3	2	1017
ACKR2	atypical chemokine receptor 2	NM_001296.5	3	1155
ACKR3	atypical chemokine receptor 3	NM_020311.3	2	1089
ACKR4	atypical chemokine receptor 4	NM_016557.4	2	1053
ACLY	ATP citrate lyase	NM_001096.3	29	3306
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	NM_138326.3	10	1011
ACO1	aconitase 1	NM_002197.3	21	2670
ACO2	aconitase 2	NM_001098.3	18	2343
ACOD1	aconitate decarboxylase 1	NM_001258406.2	5	1446
ACOT1	acyl-CoA thioesterase 1	NM_001037161.2	3	1266
ACOT11	acyl-CoA thioesterase 11	NM_015547.4	17	1824
ACOT12	acyl-CoA thioesterase 12	NM_130767.3	15	1668
ACOT13	acyl-CoA thioesterase 13	NM_018473.4	3	423
ACOT2	acyl-CoA thioesterase 2	NM_006821.6	3	1452
ACOT4	acyl-CoA thioesterase 4	NM_152331.4	3	1266
ACOT6	acyl-CoA thioesterase 6	NM_001037162.1	2	624
ACOT7	acyl-CoA thioesterase 7	NM_181864.3	9	1143
ACOT8	acyl-CoA thioesterase 8	NM_005469.4	6	960
ACOT9	acyl-CoA thioesterase 9	NM_001037171.2	16	1347
ACOX1	acyl-CoA oxidase 1	NM_004035.7	14	1983
ACOX2	acyl-CoA oxidase 2	NM_003500.4	15	2046
ACOX3	acyl-CoA oxidase 3, pristanoyl	NM_003501.3	18	2103
ACOXL	acyl-CoA oxidase like	NM_001142807.4	18	1743
ACP1	acid phosphatase 1	NM_004300.4	6	477
ACP2	acid phosphatase 2, lysosomal	NM_001610.4	11	1272
ACP3	acid phosphatase 3	NM_001134194.2	11	1257
ACP4	acid phosphatase 4	NM_033068.3	11	1281
ACP5	acid phosphatase 5, tartrate resistant	NM_001111035.3	7	978
ACP6	acid phosphatase 6, lysophosphatidic	NM_016361.5	10	1287
ACP7	acid phosphatase 7, tartrate resistant (putative)	NM_001004318.3	13	1317
ACR	acrosin	NM_001097.3	5	1266
ACRBP	acrosin binding protein	NM_032489.3	10	1632
ACRV1	acrosomal vesicle protein 1	NM_001612.6	4	798
ACSBG1	acyl-CoA synthetase bubblegum family member 1	NM_015162.5	14	2175
ACSBG2	acyl-CoA synthetase bubblegum family member 2	NM_001289177.2	15	2001
ACSF2	acyl-CoA synthetase family member 2	NM_001288968.2	17	1923
ACSF3	acyl-CoA synthetase family member 3	NM_174917.5	11	1731
ACSL1	acyl-CoA synthetase long chain family member 1	NM_001995.5	21	2097
ACSL3	acyl-CoA synthetase long chain family member 3	NM_004457.5	17	2163
ACSL4	acyl-CoA synthetase long chain family member 4	NM_004458.3	16	2013
ACSL5	acyl-CoA synthetase long chain family member 5	NM_016234.4	21	2220
ACSL6	acyl-CoA synthetase long chain family member 6	NM_015256.4	21	2169
ACSM1	acyl-CoA synthetase medium chain family member 1	NM_001318890.3	14	1734
ACSM2A	acyl-CoA synthetase medium chain family member 2A	NM_001308172.2	14	1734
ACSM2B	acyl-CoA synthetase medium chain family member 2B	NM_182617.4	15	1734
ACSM3	acyl-CoA synthetase medium chain family member 3	NM_005622.4	14	1761
ACSM4	acyl-CoA synthetase medium chain family member 4	NM_001080454.2	13	1743
ACSM5	acyl-CoA synthetase medium chain family member 5	NM_017888.3	14	1740
ACSM6	acyl-CoA synthetase medium chain family member 6	NM_207321.3	11	1443
ACSS1	acyl-CoA synthetase short chain family member 1	NM_032501.4	14	2070
ACSS2	acyl-CoA synthetase short chain family member 2	NM_018677.4	18	2106
ACSS3	acyl-CoA synthetase short chain family member 3	NM_024560.4	16	2061
ACTA1	actin alpha 1, skeletal muscle	NM_001100.4	7	1134
ACTA2	actin alpha 2, smooth muscle	NM_001613.4	9	1134
ACTB	actin beta	NM_001101.5	6	1128
ACTBL2	actin beta like 2	NM_001017992.4	1	1131
ACTC1	actin alpha cardiac muscle 1	NM_005159.5	7	1134
ACTG1	actin gamma 1	NM_001614.5	6	1128
ACTG2	actin gamma 2, smooth muscle	NM_001615.4	9	1131
ACTL10	actin like 10	NM_001024675.2	1	738
ACTL6A	actin like 6A	NM_004301.5	14	1290
ACTL6B	actin like 6B	NM_016188.5	14	1281
ACTL7A	actin like 7A	NM_006687.4	1	1308
ACTL7B	actin like 7B	NM_006686.4	1	1248
ACTL8	actin like 8	NM_030812.3	3	1101
ACTL9	actin like 9	NM_178525.5	1	1251
ACTN1	actinin alpha 1	NM_001130004.2	22	2745
ACTN2	actinin alpha 2	NM_001103.4	21	2685
ACTN3	actinin alpha 3	NM_001104.4	21	2706
ACTN4	actinin alpha 4	NM_004924.6	21	2736
ACTR10	actin related protein 10	NM_018477.3	13	1254
ACTR1A	actin related protein 1A	NM_005736.4	11	1131
ACTR1B	actin related protein 1B	NM_005735.4	11	1131
ACTR2	actin related protein 2	NM_001005386.3	10	1200
ACTR3	actin related protein 3	NM_005721.5	12	1257
ACTR3B	actin related protein 3B	NM_020445.6	12	1257
ACTR3C	actin related protein 3C	NM_001164458.2	8	633
ACTR5	actin related protein 5	NM_024855.4	9	1824
ACTR6	actin related protein 6	NM_022496.5	11	1191
ACTR8	actin related protein 8	NM_022899.5	13	1875
ACTRT1	actin related protein T1	NM_138289.4	1	1131
ACTRT2	actin related protein T2	NM_080431.5	1	1134
ACTRT3	actin related protein T3	NM_032487.5	2	1119
ACVR1	activin A receptor type 1	NM_001105.5	11	1530
ACVR1B	activin A receptor type 1B	NM_004302.5	9	1518
ACVR1C	activin A receptor type 1C	NM_145259.3	9	1482
ACVR2A	activin A receptor type 2A	NM_001278579.2	12	1542
ACVR2B	activin A receptor type 2B	NM_001106.4	11	1539
ACVRL1	activin A receptor like type 1	NM_000020.3	10	1512
ACY1	aminoacylase 1	NM_000666.3	15	1227
ACY3	aminoacylase 3	NM_080658.2	8	960
ACYP1	acylphosphatase 1	NM_001302617.2	3	390
ACYP2	acylphosphatase 2	NM_001320586.2	7	519
ADA	adenosine deaminase	NM_000022.4	12	1092
ADA2	adenosine deaminase 2	NM_001282225.2	10	1536
ADAD1	adenosine deaminase domain containing 1	NM_139243.4	13	1731
ADAD2	adenosine deaminase domain containing 2	NM_139174.4	11	1998
ADAL	adenosine deaminase like	NM_001324366.2	13	1068
ADAM10	ADAM metallopeptidase domain 10	NM_001110.4	16	2247
ADAM11	ADAM metallopeptidase domain 11	NM_002390.6	27	2310
ADAM12	ADAM metallopeptidase domain 12	NM_003474.6	23	2730
ADAM15	ADAM metallopeptidase domain 15	NM_207197.3	23	2592
ADAM17	ADAM metallopeptidase domain 17	NM_003183.6	19	2475
ADAM18	ADAM metallopeptidase domain 18	NM_014237.3	20	2220
ADAM19	ADAM metallopeptidase domain 19	NM_033274.5	23	2757
ADAM2	ADAM metallopeptidase domain 2	NM_001464.5	21	2208
ADAM20	ADAM metallopeptidase domain 20	NM_003814.5	2	2181
ADAM21	ADAM metallopeptidase domain 21	NM_003813.4	2	2169
ADAM22	ADAM metallopeptidase domain 22	NM_021723.5	31	2721
ADAM23	ADAM metallopeptidase domain 23	NM_003812.4	26	2499
ADAM28	ADAM metallopeptidase domain 28	NM_014265.6	23	2328
ADAM29	ADAM metallopeptidase domain 29	NM_001278126.1	6	2463
ADAM30	ADAM metallopeptidase domain 30	NM_021794.4	1	2373
ADAM32	ADAM metallopeptidase domain 32	NM_145004.7	25	2364
ADAM33	ADAM metallopeptidase domain 33	NM_025220.5	22	2442
ADAM7	ADAM metallopeptidase domain 7	NM_003817.4	22	2265
ADAM8	ADAM metallopeptidase domain 8	NM_001109.5	23	2475
ADAM9	ADAM metallopeptidase domain 9	NM_003816.3	22	2460
ADAMDEC1	ADAM like decysin 1	NM_014479.3	14	1413
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	NM_006988.5	9	2904
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	NM_030957.4	26	3312
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	NM_030955.4	24	4785
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	NM_139025.5	29	4284
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	NM_139155.3	22	3681
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	NM_139055.4	8	2853
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	NM_139056.4	23	3675
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	NM_139057.4	22	3288
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	NM_199355.4	23	3666
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	NM_133638.6	23	3642
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	NM_014244.5	22	3636
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	NM_025003.5	39	5733
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	NM_014243.3	22	3618
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	NM_001320336.3	9	2541
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	NM_007038.5	8	2793
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	NM_197941.4	25	3354
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	NM_014272.5	24	5061
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	NM_007037.6	9	2670
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	NM_182920.2	40	5808
ADAMTSL1	ADAMTS like 1	NM_001040272.6	29	5289
ADAMTSL2	ADAMTS like 2	NM_014694.4	19	2856
ADAMTSL3	ADAMTS like 3	NM_207517.3	30	5076
ADAMTSL4	ADAMTS like 4	NM_019032.6	19	3225
ADAMTSL5	ADAMTS like 5	NM_213604.3	12	1416
ADAP1	ArfGAP with dual PH domains 1	NM_001284308.2	11	1158
ADAP2	ArfGAP with dual PH domains 2	NM_001346712.2	11	1164
ADAR	adenosine deaminase RNA specific	NM_001111.5	15	3681
ADARB1	adenosine deaminase RNA specific B1	NM_015833.4	12	2226
ADARB2	adenosine deaminase RNA specific B2 (inactive)	NM_018702.4	10	2220
ADAT1	adenosine deaminase tRNA specific 1	NM_012091.5	11	1509
ADAT2	adenosine deaminase tRNA specific 2	NM_182503.3	6	576
ADAT3	adenosine deaminase tRNA specific 3	NM_138422.4	2	1104
ADCK1	aarF domain containing kinase 1	NM_020421.4	11	1572
ADCK2	aarF domain containing kinase 2	NM_052853.4	8	1881
ADCK5	aarF domain containing kinase 5	NM_174922.5	15	1743
ADCY1	adenylate cyclase 1	NM_021116.4	20	3360
ADCY10	adenylate cyclase 10	NM_018417.6	33	4833
ADCY2	adenylate cyclase 2	NM_020546.3	25	3276
ADCY3	adenylate cyclase 3	NM_004036.5	22	3435
ADCY4	adenylate cyclase 4	NM_001198568.2	25	3234
ADCY5	adenylate cyclase 5	NM_183357.3	21	3786
ADCY6	adenylate cyclase 6	NM_015270.5	22	3507
ADCY7	adenylate cyclase 7	NM_001114.5	26	3243
ADCY8	adenylate cyclase 8	NM_001115.3	18	3756
ADCY9	adenylate cyclase 9	NM_001116.4	11	4062
ADCYAP1	adenylate cyclase activating polypeptide 1	NM_001099733.2	5	531
ADCYAP1R1	ADCYAP receptor type I	NM_001199635.2	17	1491
ADD1	adducin 1	NM_014190.4	16	1896
ADD2	adducin 2	NM_017488.4	17	1932
ADD3	adducin 3	NM_016824.5	15	2121
ADGB	androglobin	NM_024694.4	36	5004
ADGRA1	adhesion G protein-coupled receptor A1	NM_001083909.3	7	1683
ADGRA2	adhesion G protein-coupled receptor A2	NM_032777.10	19	4017
ADGRA3	adhesion G protein-coupled receptor A3	NM_145290.4	19	3966
ADGRB1	adhesion G protein-coupled receptor B1	NM_001702.3	31	4755
ADGRB2	adhesion G protein-coupled receptor B2	NM_001294336.2	32	4656
ADGRB3	adhesion G protein-coupled receptor B3	NM_001704.3	32	4569
ADGRD1	adhesion G protein-coupled receptor D1	NM_198827.5	25	2625
ADGRD2	adhesion G protein-coupled receptor D2	NM_001395425.1	25	2949
ADGRE1	adhesion G protein-coupled receptor E1	NM_001256253.2	20	2466
ADGRE2	adhesion G protein-coupled receptor E2	NM_013447.4	21	2472
ADGRE3	adhesion G protein-coupled receptor E3	NM_032571.5	16	1959
ADGRE5	adhesion G protein-coupled receptor E5	NM_078481.4	20	2508
ADGRF1	adhesion G protein-coupled receptor F1	NM_153840.4	15	2733
ADGRF2	adhesion G protein-coupled receptor F2	NM_153839.7	11	1929
ADGRF3	adhesion G protein-coupled receptor F3	NM_001145168.1	13	3240
ADGRF4	adhesion G protein-coupled receptor F4	NM_153838.5	10	2088
ADGRF5	adhesion G protein-coupled receptor F5	NM_001098518.2	21	4041
ADGRG1	adhesion G protein-coupled receptor G1	NM_005682.7	15	2082
ADGRG2	adhesion G protein-coupled receptor G2	NM_001079858.3	29	3054
ADGRG3	adhesion G protein-coupled receptor G3	NM_170776.5	12	1650
ADGRG4	adhesion G protein-coupled receptor G4	NM_153834.4	26	9243
ADGRG5	adhesion G protein-coupled receptor G5	NM_001304376.3	12	1587
ADGRG6	adhesion G protein-coupled receptor G6	NM_198569.3	25	3753
ADGRG7	adhesion G protein-coupled receptor G7	NM_032787.3	16	2394
ADGRL1	adhesion G protein-coupled receptor L1	NM_001008701.3	24	4425
ADGRL2	adhesion G protein-coupled receptor L2	NM_012302.5	20	4212
ADGRL3	adhesion G protein-coupled receptor L3	NM_015236.7	25	4410
ADGRL4	adhesion G protein-coupled receptor L4	NM_022159.4	15	2073
ADGRV1	adhesion G protein-coupled receptor V1	NM_032119.4	90	18921
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	NM_000667.4	9	1128
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	NM_000668.6	9	1128
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	NM_000669.5	9	1128
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	NM_000670.5	9	1143
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	NM_000671.4	9	1125
ADH6	alcohol dehydrogenase 6 (class V)	NM_001102470.2	9	1128
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	NM_000673.7	9	1125
ADHFE1	alcohol dehydrogenase iron containing 1	NM_144650.3	14	1404
ADI1	acireductone dioxygenase 1	NM_018269.4	4	540
ADIG	adipogenin	NM_001393816.1	3	243
ADIPOQ	adiponectin, C1Q and collagen domain containing	NM_004797.4	3	735
ADIPOR1	adiponectin receptor 1	NM_015999.6	8	1128
ADIPOR2	adiponectin receptor 2	NM_024551.3	8	1161
ADIRF	adipogenesis regulatory factor	NM_006829.3	3	231
ADK	adenosine kinase	NM_001123.4	11	1038
ADM	adrenomedullin	NM_001124.3	4	558
ADM2	adrenomedullin 2	NM_001253845.2	3	447
ADM5	adrenomedullin 5 (putative)	NM_001101340.2	2	462
ADNP	activity dependent neuroprotector homeobox	NM_015339.5	5	3309
ADNP2	ADNP homeobox 2	NM_014913.4	4	3396
ADO	2-aminoethanethiol dioxygenase	NM_032804.6	1	813
ADORA1	adenosine A1 receptor	NM_000674.3	4	981
ADORA2A	adenosine A2a receptor	NM_000675.6	3	1239
ADORA2B	adenosine A2b receptor	NM_000676.4	2	999
ADORA3	adenosine A3 receptor	NM_000677.4	2	957
ADPGK	ADP dependent glucokinase	NM_031284.5	7	1491
ADPRH	ADP-ribosylarginine hydrolase	NM_001291949.2	4	1074
ADPRHL1	ADP-ribosylhydrolase like 1	NM_001304433.1	2	4812
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	NM_020233.5	4	1029
ADPRS	ADP-ribosylserine hydrolase	NM_017825.3	6	1092
ADRA1A	adrenoceptor alpha 1A	NM_000680.4	3	1401
ADRA1B	adrenoceptor alpha 1B	NM_000679.4	2	1563
ADRA1D	adrenoceptor alpha 1D	NM_000678.4	2	1719
ADRA2A	adrenoceptor alpha 2A	NM_000681.4	1	1398
ADRA2B	adrenoceptor alpha 2B	NM_000682.7	1	1344
ADRA2C	adrenoceptor alpha 2C	NM_000683.4	1	1389
ADRB1	adrenoceptor beta 1	NM_000684.3	1	1434
ADRB2	adrenoceptor beta 2	NM_000024.6	1	1242
ADRB3	adrenoceptor beta 3	NM_000025.3	2	1227
ADRM1	ADRM1 26S proteasome ubiquitin receptor	NM_007002.4	10	1224
ADSL	adenylosuccinate lyase	NM_000026.4	13	1455
ADSS1	adenylosuccinate synthase 1	NM_199165.2	13	1503
ADSS2	adenylosuccinate synthase 2	NM_001126.5	13	1371
